TimeStep,V[1],V[2],V[3],V[4],V[5],V[6],V[7],V[8],V[9],V[10],V[11],V[12],V[13],V[14],V[15],V[16],V[17],V[18],V[19],V[20],V[21],V[22],V[23],V[24],V[25],V[26]
854,-0.310954,-0.22584,-0.124724,-0.0216296,0.092478,0.188117,0.28641,0.351485,0.408832,0.427745,0.42963,0.397537,0.344083,0.267942,0.173824,0.0708331,-0.0385791,-0.144946,-0.240434,-0.32541,-0.382242,-0.42487,-0.429619,-0.417969,-0.371066,-0.306583
855,-0.36736,-0.283413,-0.183633,-0.0711265,0.046133,0.158442,0.264681,0.348619,0.417267,0.452497,0.465864,0.444079,0.398867,0.324781,0.233671,0.123584,0.0117472,-0.10959,-0.212097,-0.316098,-0.383178,-0.443673,-0.459739,-0.460231,-0.42271,-0.36208
856,-0.419841,-0.338571,-0.2406,-0.119898,-0.00096737,0.127841,0.239549,0.343421,0.420604,0.473913,0.496734,0.487046,0.449246,0.379021,0.290621,0.176068,0.060624,-0.0713604,-0.183988,-0.301152,-0.38311,-0.455695,-0.487482,-0.496693,-0.470827,-0.414401
857,-0.4681,-0.39118,-0.294099,-0.16894,-0.0465606,0.0946301,0.213222,0.33415,0.420298,0.490677,0.522643,0.525724,0.494677,0.430489,0.343582,0.228416,0.106977,-0.0301772,-0.156572,-0.280834,-0.381611,-0.461493,-0.51178,-0.527802,-0.514281,-0.463504
858,-0.51199,-0.440713,-0.343313,-0.218406,-0.0892836,0.0579713,0.187251,0.319572,0.417585,0.501579,0.544145,0.559194,0.535051,0.47849,0.39223,0.279807,0.150932,0.0126478,-0.12883,-0.256933,-0.376924,-0.462775,-0.53085,-0.554404,-0.55205,-0.508922
859,-0.551326,-0.48626,-0.38833,-0.267229,-0.12924,0.0185697,0.161744,0.299759,0.412734,0.50616,0.561449,0.586684,0.570479,0.521959,0.436886,0.328687,0.193451,0.0549855,-0.0990471,-0.231793,-0.367028,-0.461344,-0.543126,-0.577053,-0.583598,-0.54976
860,-0.585746,-0.526792,-0.429811,-0.313475,-0.167697,-0.0215392,0.13545,0.276125,0.404899,0.504922,0.574166,0.607851,0.600975,0.559851,0.478013,0.373442,0.235478,0.0949479,-0.0660165,-0.207034,-0.350888,-0.458001,-0.5481,-0.595523,-0.608984,-0.584972
861,-0.614699,-0.561522,-0.468339,-0.355228,-0.206097,-0.0599954,0.106667,0.250676,0.392678,0.498987,0.581458,0.622829,0.626246,0.59153,0.515672,0.413101,0.277113,0.131792,-0.0299421,-0.182707,-0.329142,-0.452062,-0.546562,-0.608811,-0.628652,-0.613758
862,-0.637584,-0.590147,-0.503826,-0.391485,-0.244959,-0.0953144,0.0744267,0.224919,0.37501,0.489415,0.582478,0.632015,0.645698,0.616932,0.549254,0.447661,0.317324,0.166132,0.00750084,-0.157414,-0.303808,-0.441786,-0.540103,-0.615629,-0.64302,-0.635844
863,-0.653943,-0.61284,-0.535343,-0.422526,-0.283345,-0.127567,0.0392497,0.199102,0.351897,0.476586,0.576857,0.635731,0.658673,0.636396,0.577662,0.477836,0.354353,0.199337,0.043985,-0.129295,-0.277189,-0.425459,-0.530166,-0.615101,-0.652113,-0.651492
864,-0.663606,-0.629978,-0.561471,-0.449544,-0.319199,-0.158135,0.00301011,0.172208,0.324495,0.460032,0.564919,0.633963,0.664748,0.650297,0.599799,0.5044,0.38657,0.23249,0.0777334,-0.0973028,-0.250628,-0.402484,-0.517212,-0.607261,-0.655464,-0.661218
865,-0.666707,-0.641795,-0.580973,-0.473752,-0.350365,-0.188691,-0.0320008,0.142733,0.294537,0.4388,0.547512,0.626358,0.66392,0.658698,0.615085,0.527542,0.413256,0.26554,0.108387,-0.0619975,-0.223843,-0.373844,-0.500493,-0.593036,-0.652338,-0.665388
866,-0.663545,-0.648132,-0.593395,-0.495493,-0.375689,-0.220007,-0.0642584,0.10976,0.263429,0.412144,0.525547,0.612453,0.656564,0.661241,0.623668,0.546603,0.434841,0.297151,0.137022,-0.0253892,-0.195251,-0.341641,-0.478569,-0.573739,-0.642155,-0.663947
