TimeStep,Vn[1],Vn[2],Vn[3],Vn[4],Vn[5],Vn[6],Vn[7],Vn[8],Vn[9],Vn[10],Vn[11]
90,-0.0010763,0.0134442,-0.0127117,0.0163423,-0.010971,-0.00454162,0.00593971,0.0085936,-0.0199394,0.0173054,-0.00710314
91,0.00618393,0.0109487,-0.0117225,0.0147214,-0.0168124,0.0099688,-0.0109919,0.0229053,-0.0254345,0.00856876,0.0117004
92,0.00856632,0.00159423,0.00154542,-0.00139392,-0.00807509,0.0125437,-0.0142091,0.0166577,-0.0103438,-0.00788577,0.0226703
93,0.00508027,-0.00602942,0.0140907,-0.0184447,0.00748727,0.00327576,-0.00302133,-0.00405694,0.0121117,-0.0173158,0.0147055
94,-0.000474576,-0.00584561,0.0134722,-0.0208787,0.0155137,-0.00651361,0.00948178,-0.0204705,0.0231682,-0.0113836,-0.00661499
95,-0.00316009,0.000510405,-0.000563582,-0.00562682,0.00893527,-0.0067973,0.010498,-0.0184863,0.0146771,0.0043787,-0.023213
96,-0.00132484,0.0056803,-0.0155966,0.0145314,-0.00521686,0.00117598,-5.57241e-05,-0.000965187,-0.0046795,0.0158177,-0.0204825
97,0.00217773,0.00377967,-0.0177784,0.0222205,-0.0128337,0.00724312,-0.0105289,0.0158547,-0.0179832,0.0130573,-0.000512039
98,0.0029787,-0.00391097,-0.00457099,0.0111464,-0.00666782,0.00384805,-0.0099631,0.0176192,-0.0150673,-0.000855495,0.0195863
99,-0.000466134,-0.0100442,0.0127308,-0.00831069,0.0065806,-0.00562877,0.000951024,0.00431654,-0.000426821,-0.0132108,0.0227642
100,-0.00525517,-0.00808916,0.0190785,-0.0187845,0.0130539,-0.0104083,0.0110616,-0.0110134,0.0122035,-0.0133764,0.00689536
101,-0.00667216,0.00136629,0.00916849,-0.011833,0.00570197,-0.00395482,0.0102859,-0.0150203,0.0126346,-0.00207906,-0.0138198
102,-0.00265294,0.0107627,-0.00794244,0.00475261,-0.00844786,0.00847304,-0.000376479,-0.00578698,0.0024736,0.00996153,-0.0217595
103,0.00405487,0.0121289,-0.0172033,0.0148644,-0.0150674,0.0144583,-0.0101791,0.00686414,-0.0078806,0.0121999,-0.0111921
104,0.00809187,0.00414353,-0.0111142,0.00947628,-0.0068225,0.00690279,-0.0095616,0.0115683,-0.00952849,0.0035701,0.00754878
105,0.0061177,-0.00666917,0.00393692,-0.00513414,0.00892837,-0.00820015,0.000454485,0.00571572,-0.00262755,-0.00733966,0.0180534
106,-0.000275736,-0.0116336,0.0140688,-0.0139612,0.0168815,-0.0168573,0.00962222,-0.00353794,0.00518119,-0.0107231,0.0123599
107,-0.00595469,-0.00733302,0.0107676,-0.00807004,0.00868924,-0.0104599,0.00888004,-0.00732178,0.00683406,-0.00435975,-0.00297723
108,-0.00664385,0.00183733,-0.00176821,0.00672031,-0.0084801,0.00555981,-0.000747569,-0.0035162,0.00214953,0.00514771,-0.0138933
109,-0.00240326,0.007986,-0.0112805,0.0155884,-0.0183394,0.0164927,-0.0094905,0.00239796,-0.0032019,0.00914538,-0.0116501
110,0.00279137,0.00672074,-0.00925888,0.00925737,-0.0110087,0.0122217,-0.00876551,0.00394005,-0.00406654,0.00485735,0.000243041
111,0.00475605,0.000478227,0.00138666,-0.00676925,0.00719614,-0.00310362,0.000382668,0.000304098,-0.000698556,-0.00281523,0.010479
112,0.00261714,-0.00446772,0.00976612,-0.0172655,0.0193346,-0.0149825,0.00863964,-0.00356288,0.00239092,-0.00663509,0.0106558
