b,rho_m,k_rho,abs_v,normalized_abs_v,re_v,im_v
5.0000000000e-01,2.5623644209e-04,1.6982436525e-01,2.8314339743e+02,4.6900914011e-02,2.8203609004e+02,2.5016543021e+01
5.0000000000e-01,2.7456229441e-04,1.8197008586e-01,2.5957669072e+02,4.2997238012e-02,2.5836863013e+02,2.5014182625e+01
5.0000000000e-01,2.9419879895e-04,1.9498445998e-01,2.3760763583e+02,3.9358202938e-02,2.3628756811e+02,2.5011472683e+01
5.0000000000e-01,3.1523969265e-04,2.0892961309e-01,2.1713427232e+02,3.5966919686e-02,2.1568929986e+02,2.5008361456e+01
5.0000000000e-01,3.3778541646e-04,2.2387211386e-01,1.9806249851e+02,3.2807800908e-02,1.9647776927e+02,2.5004789558e+01
5.0000000000e-01,3.6194359476e-04,2.3988329190e-01,1.8030529175e+02,2.9866431853e-02,1.7856361273e+02,2.5000688825e+01
5.0000000000e-01,3.8782954919e-04,2.5703957828e-01,1.6378187935e+02,2.7129433034e-02,1.6186322910e+02,2.4995981019e+01
5.0000000000e-01,4.1556684910e-04,2.7542287033e-01,1.4845112333e+02,2.4589990207e-02,1.4633252240e+02,2.4990576350e+01
5.0000000000e-01,4.4528790143e-04,2.9512092267e-01,1.3416580472e+02,2.2223717479e-02,1.3181898317e+02,2.4984371769e+01
5.0000000000e-01,4.7713458277e-04,3.1622776602e-01,1.2089815742e+02,2.0026015568e-02,1.1828990446e+02,2.4977249026e+01
5.0000000000e-01,5.1125891663e-04,3.3884415614e-01,1.0862686620e+02,1.7993353745e-02,1.0571821736e+02,2.4969072430e+01
5.0000000000e-01,5.4782379915e-04,3.6307805477e-01,9.7278286274e+01,1.6113533217e-02,9.4021694519e+01,2.4959686297e+01
5.0000000000e-01,5.8700377666e-04,3.8904514499e-01,8.6810498443e+01,1.4379610330e-02,8.3148147478e+01,2.4948912021e+01
5.0000000000e-01,6.2898587893e-04,4.1686938347e-01,7.7189501718e+01,1.2785953038e-02,7.3050584617e+01,2.4936544720e+01
5.0000000000e-01,6.7397051200e-04,4.4668359215e-01,6.8389457923e+01,1.1328281409e-02,6.3686689779e+01,2.4922349407e+01
5.0000000000e-01,7.2217241477e-04,4.7863009232e-01,6.0485262785e+01,1.0019001448e-02,5.5119464424e+01,2.4906056607e+01
